MTemp V1.1
,
,

C:\Users\labadmin\Desktop\Calibration folder\22Jun2017_TDAQ_CAL.ini,
C:\Program Files (x86)\M_Temp\Multi1.cfg
25/08/2017,2:16:58 PM
,3,7,8,9,10
Sample Time,Tre,CHEST,SHOULDER,THIGH,CALF
hh:mm:ss,Deg C,Deg C,Deg C,Deg C,Deg C
00:00:05,36.24,31.63,33.34,32.22,33.07
00:00:10,36.25,31.60,33.31,32.21,33.03
00:00:15,36.25,31.61,33.32,32.22,33.02
00:00:20,36.25,31.63,33.34,32.24,33.02
00:00:25,36.25,31.64,33.36,32.27,33.02
00:00:30,36.25,31.65,33.37,32.29,33.02
00:00:35,36.25,31.66,33.38,32.30,33.02
00:00:40,36.25,31.68,33.40,32.33,33.03
00:00:45,36.26,31.70,33.41,32.35,33.03
00:00:50,36.26,31.72,33.43,32.38,33.04
00:00:55,36.26,31.73,33.43,32.40,33.04
00:01:00,36.26,31.74,33.44,32.41,33.03
00:01:05,36.26,31.75,33.45,32.43,33.03
00:01:10,36.27,31.77,33.46,32.44,33.02
00:01:15,36.28,31.75,33.45,32.44,33.00
00:01:20,36.28,31.74,33.44,32.44,32.99
00:01:25,36.28,31.75,33.44,32.45,32.98
00:01:30,36.29,31.77,33.44,32.46,32.98
00:01:35,36.29,31.79,33.46,32.48,32.99
00:01:40,36.29,31.80,33.47,32.50,32.99
00:01:45,36.29,31.81,33.48,32.52,32.99
00:01:50,36.29,31.83,33.49,32.53,33.00
00:01:55,36.29,31.83,33.49,32.54,33.00
00:02:00,36.29,31.84,33.50,32.55,33.00
00:02:05,36.29,31.86,33.50,32.57,33.00
00:02:10,36.29,31.87,33.51,32.58,33.00
00:02:15,36.29,31.89,33.51,32.59,33.00
00:02:20,36.29,31.90,33.52,32.60,33.00
00:02:25,36.29,31.90,33.51,32.61,32.99
00:02:30,36.29,31.91,33.52,32.61,32.99
00:02:35,36.29,31.92,33.51,32.62,32.99
00:02:40,36.30,31.93,33.51,32.63,32.99
00:02:45,36.30,31.94,33.52,32.64,32.99
00:02:50,36.30,31.95,33.52,32.65,32.99
00:02:55,36.30,31.96,33.52,32.66,32.99
00:03:00,36.31,31.97,33.52,32.67,32.98
00:03:05,36.31,31.98,33.52,32.67,32.98
00:03:10,36.31,31.98,33.52,32.68,32.98
00:03:15,36.31,31.99,33.52,32.68,32.98
00:03:20,36.31,32.00,33.53,32.69,32.98
00:03:25,36.32,32.02,33.53,32.70,32.98
00:03:30,36.32,32.04,33.53,32.72,32.99
00:03:35,36.32,32.05,33.53,32.73,32.99
00:03:40,36.32,32.07,33.54,32.74,32.99
00:03:45,36.33,32.08,33.54,32.75,32.99
00:03:50,36.33,32.10,33.55,32.76,33.00
00:03:55,36.34,32.11,33.55,32.76,33.00
00:04:00,36.34,32.10,33.54,32.75,32.98
00:04:05,36.34,32.10,33.54,32.76,32.97
00:04:10,36.34,32.12,33.54,32.76,32.96
00:04:15,36.34,32.12,33.54,32.77,32.96
00:04:20,36.35,32.13,33.55,32.77,32.96
00:04:25,36.35,32.14,33.55,32.78,32.96
00:04:30,36.36,32.15,33.55,32.78,32.97
00:04:35,36.36,32.16,33.56,32.79,32.97
00:04:40,36.36,32.16,33.55,32.79,32.96
00:04:45,36.37,32.16,33.55,32.79,32.96
00:04:50,36.37,32.17,33.55,32.79,32.96
00:04:55,36.38,32.17,33.55,32.79,32.96
00:05:00,36.38,32.17,33.55,32.80,32.95
00:05:05,36.38,32.19,33.55,32.80,32.95
00:05:10,36.39,32.19,33.55,32.81,32.95
00:05:15,36.39,32.21,33.56,32.81,32.95
00:05:20,36.40,32.21,33.56,32.82,32.95
00:05:25,36.40,32.23,33.56,32.82,32.95
00:05:30,36.40,32.23,33.56,32.83,32.96
00:05:35,36.41,32.25,33.56,32.83,32.96
00:05:40,36.42,32.26,33.57,32.84,32.96
00:05:45,36.42,32.27,33.57,32.85,32.97
00:05:50,36.43,32.27,33.57,32.85,32.96
00:05:55,36.43,32.28,33.57,32.85,32.97
00:06:00,36.43,32.30,33.58,32.86,32.97
00:06:05,36.44,32.31,33.57,32.86,32.97
00:06:10,36.44,32.32,33.57,32.87,32.97
00:06:15,36.44,32.33,33.58,32.87,32.97
00:06:20,36.45,32.33,33.57,32.86,32.97
00:06:25,36.45,32.34,33.58,32.87,32.96
00:06:30,36.45,32.34,33.57,32.87,32.96
00:06:35,36.46,32.35,33.57,32.87,32.96
00:06:40,36.46,32.36,33.57,32.87,32.97
00:06:45,36.46,32.37,33.57,32.87,32.97
00:06:50,36.47,32.39,33.57,32.88,32.97
00:06:55,36.47,32.40,33.58,32.88,32.98
00:07:00,36.48,32.42,33.59,32.89,32.98
00:07:05,36.48,32.44,33.60,32.90,32.99
00:07:10,36.49,32.46,33.61,32.91,32.99
