MTemp V1.1
CBR,02 EH
,

C:\Users\labadmin\Desktop\Calibration folder\22Jun2017_TDAQ_CAL.ini,
C:\Program Files (x86)\M_Temp\Multi1.cfg
17/08/2017,1:11:59 PM
,3,4,7,8,9,10
Sample Time,Rectal,Tmpanic,CHEST,SHOULDER,THIGH,CALF
hh:mm:ss,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C
00:00:05,36.22,15246.95,34.72,35.32,34.97,34.26
00:00:10,36.23,15246.95,34.73,35.33,34.99,34.28
00:00:15,36.22,15246.95,34.72,35.35,34.99,34.29
00:00:20,36.22,15246.95,34.73,35.33,35.00,34.30
00:00:25,36.23,15246.95,34.75,35.34,35.00,34.32
00:00:30,36.23,15246.95,34.76,35.35,35.01,34.34
00:00:35,36.23,15246.95,34.76,35.35,35.01,34.35
00:00:40,36.23,15246.95,34.76,35.35,35.02,34.35
00:00:45,36.23,15246.95,34.76,35.35,35.03,34.37
00:00:50,36.23,15246.95,34.76,35.37,35.03,34.36
00:00:55,36.23,15246.95,34.78,35.37,35.03,34.39
00:01:00,36.23,15246.95,34.77,35.36,35.03,34.39
00:01:05,36.23,15246.95,34.79,35.36,35.03,34.39
00:01:10,36.22,15246.95,34.79,35.37,35.03,34.41
00:01:15,36.22,15246.95,34.78,35.36,35.04,34.40
00:01:20,36.22,15246.95,34.79,35.37,35.03,34.39
00:01:25,36.23,15246.95,34.79,35.37,35.03,34.40
00:01:30,36.23,15246.95,34.80,35.37,35.02,34.42
00:01:35,36.23,15246.95,34.80,35.38,35.03,34.43
00:01:40,36.23,15246.95,34.79,35.36,35.04,34.42
00:01:45,36.23,15246.95,34.80,35.36,35.02,34.42
00:01:50,36.23,15246.95,34.79,35.36,35.01,34.40
00:01:55,36.23,15246.95,34.80,35.36,35.01,34.41
00:02:00,36.22,15246.95,34.81,35.37,35.01,34.42
00:02:05,36.23,15246.95,34.80,35.36,35.01,34.40
00:02:10,36.24,15246.95,34.81,35.38,35.00,34.40
00:02:15,36.23,15246.95,34.82,35.38,35.01,34.41
00:02:20,36.23,15246.95,34.81,35.38,35.01,34.42
00:02:25,36.23,15246.95,34.82,35.38,35.02,34.44
00:02:30,36.22,15246.95,34.84,35.40,35.02,34.45
00:02:35,36.22,15246.95,34.84,35.40,35.03,34.46
00:02:40,36.22,15246.95,34.83,35.40,35.02,34.47
00:02:45,36.22,15246.95,34.84,35.40,35.04,34.47
00:02:50,36.22,15246.95,34.86,35.39,35.03,34.45
00:02:55,36.22,15246.95,34.85,35.41,35.03,34.47
00:03:00,36.21,15246.95,34.85,35.40,35.02,34.46
00:03:05,36.20,15246.95,34.85,35.40,35.03,34.48
00:03:10,36.19,15246.95,34.84,35.40,35.03,34.47
00:03:15,36.20,15246.95,34.86,35.41,35.04,34.48
00:03:20,36.21,15246.95,34.86,35.41,35.04,34.50
00:03:25,36.22,15246.95,34.87,35.42,35.04,34.52
00:03:30,36.23,15246.95,34.89,35.42,35.04,34.53
00:03:35,36.24,15246.95,34.89,35.44,35.07,34.55
00:03:40,36.27,15246.95,34.90,35.44,35.07,34.57
00:03:45,36.29,15246.95,34.90,35.44,35.07,34.57
00:03:50,36.28,15246.95,34.90,35.45,35.07,34.56
00:03:55,36.28,15246.95,34.91,35.43,35.07,34.56
00:04:00,36.29,15246.95,34.90,35.44,35.07,34.56
00:04:05,36.30,15246.95,34.91,35.45,35.07,34.55
00:04:10,36.30,15246.95,34.91,35.45,35.07,34.53
00:04:15,36.29,15246.95,34.90,35.44,35.07,34.51
00:04:20,36.28,15246.95,34.88,35.44,35.05,34.49
00:04:25,36.28,15246.95,34.90,35.44,35.05,34.50
00:04:30,36.30,15246.95,34.91,35.44,35.05,34.49
00:04:35,36.31,15246.95,34.91,35.44,35.06,34.50
00:04:40,36.32,15246.95,34.91,35.45,35.06,34.51
00:04:45,36.33,15246.95,34.93,35.46,35.07,34.53
00:04:50,36.33,15246.95,34.93,35.47,35.08,34.56
00:04:55,36.33,15246.95,34.96,35.49,35.08,34.58
00:05:00,36.34,15246.95,34.97,35.50,35.10,34.60
00:05:05,36.35,15246.95,34.96,35.51,35.10,34.63
00:05:10,36.34,15246.95,34.98,35.51,35.09,34.65
00:05:15,36.36,15246.95,34.99,35.51,35.10,34.69
00:05:20,36.36,15246.95,35.00,35.53,35.12,34.68
00:05:25,36.37,15246.95,35.01,35.52,35.11,34.68
00:05:30,36.36,15246.95,35.00,35.53,35.12,34.69
00:05:35,36.36,15246.95,35.01,35.54,35.13,34.68
00:05:40,36.38,15246.95,35.01,35.53,35.11,34.67
00:05:45,36.38,15246.95,35.01,35.53,35.12,34.66
00:05:50,36.39,15246.95,35.01,35.53,35.12,34.66
00:05:55,36.40,15246.95,35.03,35.54,35.13,34.65
00:06:00,36.40,15246.95,35.01,35.55,35.12,34.65
00:06:05,36.40,15246.95,35.02,35.55,35.13,34.67
00:06:10,36.41,15246.95,35.03,35.54,35.14,34.67
00:06:15,36.41,15246.95,35.03,35.54,35.13,34.68
00:06:20,36.41,15246.95,35.04,35.55,35.14,34.69
00:06:25,36.42,15246.95,35.05,35.56,35.14,34.70
00:06:30,36.41,15246.95,35.05,35.56,35.13,34.71
00:06:35,36.42,15246.95,35.05,35.56,35.15,34.72
00:06:40,36.42,15246.95,35.06,35.56,35.15,34.74
00:06:45,36.43,15246.95,35.06,35.57,35.16,34.73
00:06:50,36.43,15246.95,35.06,35.59,35.16,34.74
00:06:55,36.43,15246.95,35.08,35.59,35.17,34.75
00:07:00,36.44,15246.95,35.09,35.60,35.17,34.76
00:07:05,36.42,15246.95,35.10,35.60,35.18,34.77
00:07:10,36.43,15246.95,35.08,35.60,35.19,34.79
00:07:15,36.43,15246.95,35.08,35.60,35.18,34.78
00:07:20,36.44,15246.95,35.09,35.61,35.18,34.79
00:07:25,36.45,15246.95,35.09,35.60,35.19,34.78
00:07:30,36.46,15246.95,35.09,35.62,35.18,34.78
00:07:35,36.46,15246.95,35.10,35.61,35.20,34.78
00:07:40,36.46,15246.95,35.11,35.61,35.20,34.79
00:07:45,36.47,15246.95,35.10,35.62,35.20,34.80
00:07:50,36.48,15246.95,35.11,35.61,35.20,34.80
00:07:55,36.48,15246.95,35.11,35.62,35.20,34.81
00:08:00,36.48,15246.95,35.11,35.62,35.21,34.80
00:08:05,36.49,15246.95,35.12,35.61,35.21,34.80
00:08:10,36.50,15246.95,35.12,35.62,35.21,34.81
00:08:15,36.51,15246.95,35.13,35.62,35.22,34.82
00:08:20,36.52,15246.95,35.12,35.62,35.21,34.81
00:08:25,36.53,15246.95,35.12,35.61,35.21,34.81
00:08:30,36.54,15246.95,35.11,35.62,35.21,34.79
00:08:35,36.55,15246.95,35.12,35.62,35.21,34.79
00:08:40,36.57,15246.95,35.12,35.60,35.21,34.78
00:08:45,36.59,15246.95,35.11,35.60,35.21,34.78
00:08:50,36.58,15246.95,35.11,35.59,35.19,34.75
00:08:55,36.58,15246.95,35.11,35.58,35.18,34.75
00:09:00,36.58,15246.95,35.11,35.59,35.19,34.75
00:09:05,36.58,15246.95,35.10,35.58,35.18,34.74
00:09:10,36.60,15246.95,35.10,35.58,35.17,34.72
00:09:15,36.62,15246.95,35.09,35.58,35.18,34.71
00:09:20,36.62,15246.95,35.09,35.55,35.16,34.70
00:09:25,36.63,15246.95,35.09,35.57,35.16,34.73
00:09:30,36.63,15246.95,35.10,35.58,35.16,34.73
00:09:35,36.62,15246.95,35.10,35.58,35.15,34.74
00:09:40,36.62,15246.95,35.10,35.58,35.17,34.75
00:09:45,36.63,15246.95,35.09,35.57,35.15,34.74
00:09:50,36.63,15246.95,35.09,35.57,35.16,34.76
00:09:55,36.63,15246.95,35.11,35.56,35.16,34.76
00:10:00,36.64,15246.95,35.11,35.58,35.15,34.77
00:10:05,36.65,15246.95,35.11,35.58,35.17,34.78
00:10:10,36.65,15246.95,35.11,35.59,35.16,34.80
00:10:15,36.66,15246.95,35.12,35.60,35.17,34.81
00:10:20,36.67,15246.95,35.13,35.60,35.19,34.82
00:10:25,36.66,15246.95,35.14,35.61,35.20,34.82
00:10:30,36.66,15246.95,35.14,35.60,35.18,34.84
00:10:35,36.67,15246.95,35.14,35.61,35.18,34.83
00:10:40,36.68,15246.95,35.15,35.60,35.19,34.83
00:10:45,36.68,15246.95,35.14,35.62,35.20,34.85
00:10:50,36.68,15246.95,35.16,35.62,35.21,34.84
00:10:55,36.69,15246.95,35.17,35.62,35.22,34.86
00:11:00,36.69,15246.95,35.17,35.63,35.21,34.86
00:11:05,36.70,15246.95,35.17,35.64,35.22,34.86
00:11:10,36.71,15246.95,35.19,35.65,35.22,34.87
00:11:15,36.71,15246.95,35.18,35.65,35.22,34.87
00:11:20,36.71,15246.95,35.19,35.64,35.23,34.87
00:11:25,36.71,15246.95,35.19,35.64,35.22,34.88
00:11:30,36.70,15246.95,35.19,35.65,35.23,34.87
00:11:35,36.71,15246.95,35.20,35.65,35.23,34.87
00:11:40,36.71,15246.95,35.21,35.66,35.24,34.87
00:11:45,36.71,15246.95,35.21,35.66,35.24,34.88
00:11:50,36.71,15246.95,35.21,35.66,35.24,34.89
00:11:55,36.71,15246.95,35.22,35.68,35.25,34.91
00:12:00,36.71,15246.95,35.23,35.67,35.26,34.92
00:12:05,36.71,15246.95,35.23,35.69,35.25,34.91
00:12:10,36.71,15246.95,35.23,35.68,35.25,34.90
00:12:15,36.71,15246.95,35.23,35.68,35.26,34.91
00:12:20,36.70,15246.95,35.24,35.68,35.27,34.91
00:12:25,36.70,15246.95,35.24,35.69,35.27,34.92
00:12:30,36.71,15246.95,35.25,35.70,35.28,34.92
00:12:35,36.72,15246.95,35.27,35.71,35.29,34.93
00:12:40,36.73,15246.95,35.26,35.71,35.28,34.92
00:12:45,36.72,15246.95,35.27,35.70,35.29,34.90
00:12:50,36.72,15246.95,35.28,35.72,35.28,34.92
00:12:55,36.73,15246.95,35.27,35.72,35.29,34.91
00:13:00,36.73,15246.95,35.26,35.71,35.29,34.92
00:13:05,36.73,15246.95,35.28,35.71,35.28,34.90
00:13:10,36.73,15246.95,35.27,35.70,35.29,34.90
00:13:15,36.72,15246.95,35.27,35.70,35.29,34.90
00:13:20,36.73,15246.95,35.27,35.71,35.29,34.90
00:13:25,36.73,15246.95,35.29,35.73,35.30,34.91
00:13:30,36.73,15246.95,35.31,35.74,35.31,34.93
00:13:35,36.73,15246.95,35.32,35.74,35.32,34.96
00:13:40,36.74,15246.95,35.31,35.75,35.33,34.96
00:13:45,36.74,15246.95,35.31,35.75,35.32,34.98
00:13:50,36.74,15246.95,35.33,35.76,35.34,34.99
00:13:55,36.73,15246.95,35.33,35.77,35.34,35.01
00:14:00,36.74,15246.95,35.34,35.78,35.35,35.03
00:14:05,36.76,15246.95,35.34,35.78,35.36,35.05
00:14:10,36.72,15246.95,35.35,35.79,35.36,35.06
00:14:15,36.72,15246.95,35.36,35.79,35.37,35.07
00:14:20,36.70,15246.95,35.37,35.80,35.38,35.07
00:14:25,36.71,15246.95,35.38,35.81,35.40,35.09
00:14:30,36.73,15246.95,35.39,35.81,35.38,35.09
00:14:35,36.75,15246.95,35.40,35.82,35.39,35.09
00:14:40,36.77,15246.95,35.40,35.81,35.39,35.09
00:14:45,36.78,15246.95,35.38,35.83,35.39,35.09
00:14:50,36.79,15246.95,35.39,35.81,35.39,35.07
00:14:55,36.80,15246.95,35.39,35.82,35.38,35.08
00:15:00,36.81,15246.95,35.39,35.82,35.38,35.07
00:15:05,36.81,15246.95,35.40,35.81,35.38,35.08
00:15:10,36.82,15246.95,35.41,35.83,35.40,35.07
00:15:15,36.83,15246.95,35.40,35.82,35.40,35.08
00:15:20,36.83,15246.95,35.42,35.84,35.40,35.09
00:15:25,36.84,15246.95,35.42,35.83,35.40,35.09
00:15:30,36.85,15246.95,35.44,35.84,35.40,35.08
00:15:35,36.87,15246.95,35.44,35.84,35.40,35.09
00:15:40,36.87,15246.95,35.43,35.85,35.40,35.09
00:15:45,36.87,15246.95,35.44,35.84,35.41,35.08
00:15:50,36.86,15246.95,35.44,35.85,35.41,35.09
00:15:55,36.85,15246.95,35.46,35.87,35.43,35.10
00:16:00,36.85,15246.95,35.47,35.87,35.43,35.11
00:16:05,36.86,15246.95,35.48,35.88,35.43,35.12
00:16:10,36.87,15246.95,35.48,35.89,35.43,35.12
00:16:15,36.88,15246.95,35.49,35.89,35.43,35.12
00:16:20,36.89,15246.95,35.49,35.89,35.43,35.11
00:16:25,36.91,15246.95,35.50,35.89,35.43,35.12
00:16:30,36.91,15246.95,35.49,35.91,35.43,35.12
00:16:35,36.92,15246.95,35.51,35.90,35.44,35.14
00:16:40,36.92,15246.95,35.50,35.92,35.45,35.16
00:16:45,36.92,15246.95,35.51,35.91,35.46,35.19
00:16:50,36.92,15246.95,35.50,35.93,35.47,35.20
00:16:55,36.93,15246.95,35.52,35.93,35.48,35.23
00:17:00,36.93,15246.95,35.54,35.94,35.49,35.25
00:17:05,36.94,15246.95,35.53,35.95,35.49,35.26
00:17:10,36.95,15246.95,35.53,35.94,35.52,35.27
00:17:15,36.95,15246.95,35.54,35.94,35.49,35.28
00:17:20,36.95,15246.95,35.56,35.94,35.51,35.29
