MTemp V1.1
CBR,GL 02
,

C:\Users\labadmin\Desktop\Calibration folder\22Jun2017_TDAQ_CAL.ini,
C:\Program Files (x86)\M_Temp\Multi1.cfg
8/08/2017,12:32:21 PM
,3,4,7,8,9,10
Sample Time,Rectal,Tymp,CHEST,SHOULDER,THIGH,CALF
hh:mm:ss,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C
00:00:05,36.40,15246.95,35.78,35.89,35.09,35.75
00:00:10,36.40,15246.95,35.80,35.91,35.11,35.77
00:00:15,36.41,15246.95,35.84,35.95,35.13,35.81
00:00:20,36.41,15246.95,35.86,35.97,35.15,35.83
00:00:25,36.41,15246.95,35.88,35.99,35.17,35.85
00:00:30,36.41,15246.95,35.90,36.03,35.19,35.87
00:00:35,36.41,15246.95,35.93,36.07,35.20,35.90
00:00:40,36.42,15246.95,35.96,36.08,35.23,35.91
00:00:45,36.41,15246.95,35.98,36.11,35.25,35.94
00:00:50,36.41,15246.95,36.01,36.13,35.27,35.95
00:00:55,36.41,15246.95,36.00,36.16,35.29,35.97
00:01:00,36.42,15246.95,36.03,36.17,35.31,35.98
00:01:05,36.42,15246.95,36.04,36.19,35.34,36.00
00:01:10,36.43,15246.95,36.06,36.21,35.34,36.02
00:01:15,36.43,15246.95,36.09,36.23,35.36,36.05
00:01:20,36.43,15246.95,36.11,36.26,35.37,36.06
00:01:25,36.43,15246.95,36.13,36.27,35.41,36.08
00:01:30,36.43,15246.95,36.15,36.30,35.44,36.12
00:01:35,36.43,15246.95,36.18,36.32,35.46,36.16
00:01:40,36.43,15246.95,36.21,36.34,35.48,36.18
00:01:45,36.43,15246.95,36.24,36.37,35.50,36.20
00:01:50,36.43,15246.95,36.26,36.40,35.54,36.24
00:01:55,36.43,15246.95,36.26,36.41,35.55,36.27
00:02:00,36.43,15246.95,36.27,36.42,35.57,36.28
00:02:05,36.43,15246.95,36.32,36.45,35.59,36.31
00:02:10,36.43,15246.95,36.32,36.47,35.61,36.33
00:02:15,36.43,15246.95,36.34,36.48,35.63,36.35
00:02:20,36.44,15246.95,36.35,36.48,35.65,36.36
00:02:25,36.44,15246.95,36.37,36.50,35.66,36.37
00:02:30,36.44,15246.95,36.37,36.52,35.68,36.38
00:02:35,36.45,15246.95,36.42,36.53,35.69,36.38
00:02:40,36.44,15246.95,36.41,36.51,35.69,36.43
00:02:45,36.43,15246.95,36.40,36.58,35.71,36.43
00:02:50,36.45,15246.95,36.40,36.56,35.71,36.44
00:02:55,36.46,15246.95,36.41,36.55,35.72,36.44
00:03:00,36.46,15246.95,36.39,36.58,35.73,36.44
00:03:05,36.46,15246.95,36.41,36.59,35.73,36.44
00:03:10,36.46,15246.95,36.42,36.56,35.75,36.42
00:03:15,36.46,15246.95,36.42,36.56,35.74,36.43
00:03:20,36.46,15246.95,36.40,36.54,35.74,36.42
00:03:25,36.46,15246.95,36.39,36.54,35.74,36.40
00:03:30,36.47,15246.95,36.38,36.54,35.74,36.40
00:03:35,36.47,15246.95,36.38,36.54,35.75,36.39
00:03:40,36.47,15246.95,36.37,36.52,35.73,36.39
00:03:45,36.47,15246.95,36.35,36.54,35.72,36.38
00:03:50,36.46,15246.95,36.38,36.51,35.75,36.34
00:03:55,36.48,15246.95,36.32,36.50,35.72,36.34
00:04:00,36.48,15246.95,36.32,36.51,35.71,36.33
00:04:05,36.49,15246.95,36.39,36.48,35.73,36.35
00:04:10,36.49,15246.95,36.29,36.49,35.73,36.26
00:04:15,36.48,15246.95,36.28,36.50,35.74,36.29
00:04:20,36.49,15246.95,36.27,36.51,35.71,36.31
00:04:25,36.50,15246.95,36.27,36.43,35.71,36.27
00:04:30,36.50,15246.95,36.31,36.44,35.68,36.27
00:04:35,36.51,15246.95,36.28,36.46,35.70,36.24
00:04:40,36.51,15246.95,36.30,36.43,35.70,36.24
00:04:45,36.51,15246.95,36.27,36.43,35.71,36.26
00:04:50,36.51,15246.95,36.27,36.41,35.69,36.24
00:04:55,36.52,15246.95,36.28,36.42,35.71,36.24
00:05:00,36.53,15246.95,36.25,36.42,35.70,36.24
00:05:05,36.53,15246.95,36.26,36.43,35.69,36.24
00:05:10,36.54,15246.95,36.27,36.42,35.69,36.23
00:05:15,36.54,15246.95,36.26,36.41,35.69,36.24
00:05:20,36.54,15246.95,36.27,36.41,35.70,36.23
00:05:25,36.56,15246.95,36.27,36.40,35.71,36.23
00:05:30,36.56,15246.95,36.26,36.43,35.67,36.23
00:05:35,36.56,15246.95,36.27,36.43,35.68,36.23
00:05:40,36.56,15246.95,36.24,36.42,35.74,36.22
00:05:45,36.55,15246.95,36.33,36.40,35.69,36.26
00:05:50,36.57,15246.95,36.29,36.41,35.71,36.23
00:05:55,36.57,15246.95,36.29,36.42,35.71,36.25
00:06:00,36.57,15246.95,36.29,36.43,35.69,36.20
00:06:05,36.58,15246.95,36.28,36.41,35.71,36.23
00:06:10,36.59,15246.95,36.26,36.38,35.69,36.23
00:06:15,36.59,15246.95,36.27,36.40,35.72,36.25
00:06:20,36.59,15246.95,36.26,36.40,35.73,36.23
00:06:25,36.59,15246.95,36.27,36.42,35.71,36.23
00:06:30,36.60,15246.95,36.28,36.42,35.72,36.25
00:06:35,36.60,15246.95,36.29,36.40,35.72,36.24
00:06:40,36.61,15246.95,36.28,36.43,35.72,36.25
00:06:45,36.60,15246.95,36.31,36.42,35.73,36.25
00:06:50,36.61,15246.95,36.30,36.43,35.74,36.25
00:06:55,36.61,15246.95,36.31,36.42,35.74,36.26
00:07:00,36.62,15246.95,36.30,36.48,35.75,36.21
00:07:05,36.63,15246.95,36.29,36.40,35.75,36.26
00:07:10,36.61,15246.95,36.33,36.44,35.78,36.27
00:07:15,36.63,15246.95,36.33,36.45,35.75,36.27
00:07:20,36.64,15246.95,36.33,36.45,35.75,36.28
00:07:25,36.64,15246.95,36.33,36.45,35.75,36.28
00:07:30,36.64,15246.95,36.31,36.43,35.77,36.30
00:07:35,36.64,15246.95,36.34,36.48,35.78,36.28
00:07:40,36.64,15246.95,36.39,36.46,35.76,36.29
00:07:45,36.65,15246.95,36.37,36.48,35.77,36.32
00:07:50,36.65,15246.95,36.35,36.49,35.78,36.31
00:07:55,36.65,15246.95,36.37,36.49,35.79,36.32
00:08:00,36.65,15246.95,36.34,36.50,35.83,36.31
00:08:05,36.67,15246.95,36.33,36.49,35.83,36.32
00:08:10,36.66,15246.95,36.39,36.50,35.85,36.31
00:08:15,36.66,15246.95,36.38,36.55,35.80,36.33
00:08:20,36.68,15246.95,36.37,36.51,35.86,36.33
00:08:25,36.68,15246.95,36.41,36.58,35.81,36.35
00:08:30,36.67,15246.95,36.37,36.53,35.88,36.38
00:08:35,36.68,15246.95,36.41,36.51,35.86,36.37
00:08:40,36.67,15246.95,36.49,36.49,35.82,36.43
00:08:45,36.68,15246.95,36.44,36.61,35.85,36.42
00:08:50,36.69,15246.95,36.46,36.59,35.87,36.42
00:08:55,36.69,15246.95,36.49,36.59,35.89,36.44
00:09:00,36.69,15246.95,36.50,36.59,35.88,36.45
00:09:05,36.70,15246.95,36.51,36.59,35.91,36.46
00:09:10,36.71,15246.95,36.47,36.65,35.96,36.47
00:09:15,36.70,15246.95,36.60,36.62,35.92,36.51
00:09:20,36.71,15246.95,36.57,36.59,35.92,36.51
00:09:25,36.74,15246.95,36.55,36.62,35.98,36.48
00:09:30,36.73,15246.95,36.62,36.67,35.97,36.49
00:09:35,36.74,15246.95,36.58,36.69,35.98,36.53
00:09:40,36.75,15246.95,36.61,36.71,35.96,36.51
00:09:45,36.75,15246.95,36.62,36.69,36.01,36.57
00:09:50,36.76,15246.95,36.65,36.72,35.99,36.59
00:09:55,36.76,15246.95,36.66,36.75,36.01,36.59
00:10:00,36.77,15246.95,36.66,36.75,36.04,36.60
00:10:05,36.77,15246.95,36.67,36.78,36.05,36.61
00:10:10,36.77,15246.95,36.68,36.79,36.06,36.63
00:10:15,36.78,15246.95,36.70,36.80,36.07,36.65
00:10:20,36.79,15246.95,36.73,36.81,36.08,36.67
00:10:25,36.79,15246.95,36.76,36.83,36.09,36.68
00:10:30,36.79,15246.95,36.75,36.85,36.12,36.71
00:10:35,36.80,15246.95,36.77,36.87,36.12,36.71
00:10:40,36.81,15246.95,36.79,36.89,36.15,36.73
00:10:45,36.82,15246.95,36.81,36.89,36.15,36.74
00:10:50,36.82,15246.95,36.77,36.92,36.17,36.75
00:10:55,36.82,15246.95,36.84,36.90,36.16,36.79
00:11:00,36.83,15246.95,36.86,36.89,36.17,36.79
00:11:05,36.83,15246.95,36.84,36.95,36.20,36.76
00:11:10,36.83,15246.95,36.82,36.95,36.18,36.79
00:11:15,36.82,15246.95,36.85,36.97,36.20,36.79
00:11:20,36.82,15246.95,36.88,36.99,36.21,36.81
00:11:25,36.82,15246.95,36.88,37.00,36.23,36.81
00:11:30,36.83,15246.95,36.90,37.01,36.25,36.83
00:11:35,36.83,15246.95,36.91,37.01,36.23,36.83
00:11:40,36.83,15246.95,36.95,37.02,36.23,36.86
00:11:45,36.83,15246.95,36.95,37.04,36.27,36.87
00:11:50,36.84,15246.95,36.95,37.08,36.27,36.86
00:11:55,36.84,15246.95,36.97,37.09,36.29,36.85
00:12:00,36.84,15246.95,37.00,37.10,36.29,36.88
00:12:05,36.84,15246.95,36.98,37.11,36.29,36.86
00:12:10,36.85,15246.95,36.98,37.11,36.31,36.89
00:12:15,36.85,15246.95,37.00,37.11,36.32,36.90
00:12:20,36.85,15246.95,36.98,37.12,36.33,36.90
00:12:25,36.85,15246.95,37.00,37.13,36.33,36.92
00:12:30,36.85,15246.95,37.03,37.17,36.33,36.90
00:12:35,36.86,15246.95,37.00,37.14,36.28,36.92
00:12:40,36.86,15246.95,37.02,37.13,36.37,36.89
00:12:45,36.84,15246.95,37.07,37.14,36.35,36.97
00:12:50,36.84,15246.95,37.02,37.18,36.34,36.94
00:12:55,36.84,15246.95,37.06,37.12,36.36,36.99
00:13:00,36.84,15246.95,37.02,37.18,36.33,36.94
00:13:05,36.85,15246.95,36.99,37.14,36.39,36.93
00:13:10,36.85,15246.95,37.04,37.19,36.37,36.94
00:13:15,36.85,15246.95,37.04,37.17,36.38,36.94
00:13:20,36.85,15246.95,37.04,37.17,36.39,36.95
00:13:25,36.85,15246.95,37.03,37.17,36.39,36.95
00:13:30,36.86,15246.95,37.03,37.17,36.38,36.94
00:13:35,36.86,15246.95,37.03,37.17,36.38,36.95
00:13:40,36.86,15246.95,37.00,37.17,36.46,36.92
00:13:45,36.86,15246.95,37.00,37.18,36.43,36.95
00:13:50,36.86,15246.95,37.05,37.19,36.38,36.94
00:13:55,36.87,15246.95,37.05,37.21,36.37,36.93
00:14:00,36.88,15246.95,37.02,37.17,36.40,36.95
00:14:05,36.88,15246.95,36.96,37.15,36.41,36.88
00:14:10,36.88,15246.95,37.04,37.20,36.35,36.93
00:14:15,36.89,15246.95,37.00,37.12,36.42,36.91
00:14:20,36.87,15246.95,37.03,37.22,36.37,36.90
00:14:25,36.88,15246.95,37.04,37.17,36.41,36.92
00:14:30,36.89,15246.95,37.05,37.14,36.36,36.94
00:14:35,36.89,15246.95,37.05,37.18,36.39,36.90
00:14:40,36.90,15246.95,37.04,37.16,36.41,36.93
00:14:45,36.90,15246.95,37.03,37.12,36.38,36.94
00:14:50,36.91,15246.95,37.04,37.15,36.42,36.93
00:14:55,36.92,15246.95,37.03,37.15,36.42,36.93
00:15:00,36.92,15246.95,37.04,37.15,36.42,36.92
00:15:05,36.93,15246.95,37.03,37.15,36.41,36.92
00:15:10,36.94,15246.95,37.03,37.15,36.42,36.92
00:15:15,36.94,15246.95,37.01,37.15,36.41,36.91
00:15:20,36.95,15246.95,37.00,37.13,36.47,36.91
00:15:25,36.95,15246.95,36.98,37.12,36.46,36.90
00:15:30,36.96,15246.95,36.99,37.14,36.48,36.89
00:15:35,36.96,15246.95,37.04,37.07,36.45,36.91
00:15:40,36.96,15246.95,37.02,37.11,36.43,36.95
00:15:45,36.97,15246.95,37.01,37.21,36.42,36.93
00:15:50,36.98,15246.95,36.97,37.09,36.40,36.89
00:15:55,36.97,15246.95,36.99,37.12,36.42,36.88
00:16:00,36.98,15246.95,37.01,37.12,36.41,36.89
00:16:05,36.98,15246.95,37.00,37.12,36.43,36.88
00:16:10,36.99,15246.95,37.01,37.12,36.41,36.88
00:16:15,36.99,15246.95,37.00,37.11,36.41,36.88
00:16:20,36.99,15246.95,36.99,37.13,36.40,36.87
00:16:25,37.01,15246.95,37.04,37.07,36.41,36.86
00:16:30,37.02,15246.95,36.99,37.06,36.39,36.86
00:16:35,37.01,15246.95,36.91,37.07,36.43,36.81
00:16:40,37.02,15246.95,36.88,37.09,36.39,36.82
00:16:45,37.03,15246.95,36.92,37.07,36.38,36.78
00:16:50,37.04,15246.95,36.91,37.06,36.37,36.79
00:16:55,37.04,15246.95,36.92,37.08,36.36,36.77
00:17:00,37.04,15246.95,36.91,37.04,36.36,36.75
00:17:05,37.05,15246.95,36.90,36.98,36.35,36.76
00:17:10,37.05,15246.95,36.88,37.00,36.34,36.76
00:17:15,37.06,15246.95,36.84,37.02,36.33,36.73
00:17:20,37.07,15246.95,36.86,36.98,36.34,36.70
00:17:25,37.07,15246.95,36.84,36.97,36.33,36.67
00:17:30,37.07,15246.95,36.85,36.96,36.32,36.67
00:17:35,37.08,15246.95,36.84,36.97,36.31,36.66
00:17:40,37.09,15246.95,36.82,36.94,36.30,36.64
00:17:45,37.09,15246.95,36.82,36.94,36.30,36.63
00:17:50,37.09,15246.95,36.81,36.92,36.30,36.62
00:17:55,37.10,15246.95,36.80,36.90,36.29,36.62
00:18:00,37.11,15246.95,36.82,36.93,36.29,36.61
00:18:05,37.11,15246.95,36.83,36.88,36.24,36.61
00:18:10,37.12,15246.95,36.81,36.92,36.26,36.58
00:18:15,37.12,15246.95,36.77,36.85,36.28,36.59
00:18:20,37.13,15246.95,36.78,36.91,36.30,36.57
00:18:25,37.13,15246.95,36.80,36.90,36.26,36.57
00:18:30,37.14,15246.95,36.77,36.90,36.25,36.52
00:18:35,37.13,15246.95,36.78,36.87,36.25,36.53
00:18:40,37.14,15246.95,36.83,36.85,36.22,36.56
00:18:45,37.14,15246.95,36.70,36.87,36.29,36.50
00:18:50,37.15,15246.95,36.77,36.91,36.16,36.52
00:18:55,37.15,15246.95,36.80,36.84,36.26,36.53
00:19:00,37.15,15246.95,36.75,36.84,36.25,36.50
00:19:05,37.15,15246.95,36.74,36.84,36.23,36.50
00:19:10,37.15,15246.95,36.73,36.84,36.23,36.50
00:19:15,37.14,15246.95,36.73,36.82,36.23,36.49
00:19:20,37.14,15246.95,36.72,36.82,36.22,36.50
00:19:25,37.14,15246.95,36.73,36.83,36.22,36.49
00:19:30,37.13,15246.95,36.72,36.84,36.22,36.49
00:19:35,37.13,15246.95,36.71,36.83,36.22,36.48
00:19:40,37.13,15246.95,36.73,36.84,36.21,36.46
00:19:45,37.14,15246.95,36.72,36.81,36.21,36.43
00:19:50,37.13,15246.95,36.66,36.81,36.19,36.44
00:19:55,37.13,15246.95,36.67,36.77,36.17,36.43
00:20:00,37.14,15246.95,36.70,36.79,36.17,36.41
00:20:05,37.14,15246.95,36.67,36.77,36.17,36.40
00:20:10,37.14,15246.95,36.65,36.76,36.16,36.38
00:20:15,37.15,15246.95,36.64,36.75,36.16,36.37
00:20:20,37.15,15246.95,36.64,36.74,36.16,36.35
00:20:25,37.15,15246.95,36.62,36.73,36.14,36.34
00:20:30,37.15,15246.95,36.61,36.70,36.12,36.32
00:20:35,37.15,15246.95,36.59,36.70,36.12,36.31
00:20:40,37.14,15246.95,36.57,36.68,36.12,36.28
00:20:45,37.14,15246.95,36.57,36.68,36.09,36.26
00:20:50,37.14,15246.95,36.55,36.66,36.08,36.25
00:20:55,37.14,15246.95,36.51,36.63,36.08,36.23
00:21:00,37.14,15246.95,36.51,36.61,36.05,36.20
00:21:05,37.14,15246.95,36.49,36.61,36.04,36.18
00:21:10,37.14,15246.95,36.48,36.59,36.03,36.17
00:21:15,37.14,15246.95,36.48,36.58,36.02,36.16
00:21:20,37.14,15246.95,36.47,36.56,36.02,36.15
00:21:25,37.14,15246.95,36.42,36.54,36.00,36.13
00:21:30,37.14,15246.95,36.41,36.54,35.99,36.12
00:21:35,37.14,15246.95,36.41,36.52,35.97,36.11
00:21:40,37.14,15246.95,36.39,36.50,35.95,36.08
00:21:45,37.14,15246.95,36.37,36.49,35.94,36.06
00:21:50,37.15,15246.95,36.34,36.48,35.93,36.05
00:21:55,37.14,15246.95,36.34,36.45,35.92,36.03
00:22:00,37.14,15246.95,36.32,36.44,35.91,36.03
00:22:05,37.14,15246.95,36.31,36.44,35.91,36.02
00:22:10,37.14,15246.95,36.30,36.42,35.89,36.00
00:22:15,37.14,15246.95,36.27,36.40,35.89,36.00
00:22:20,37.14,15246.95,36.28,36.39,35.87,35.98
00:22:25,37.14,15246.95,36.26,36.37,35.87,35.97
00:22:30,37.14,15246.95,36.25,36.36,35.85,35.96
00:22:35,37.14,15246.95,36.25,36.34,35.85,35.94
00:22:40,37.13,15246.95,36.23,36.33,35.84,35.93
00:22:45,37.13,15246.95,36.22,36.32,35.82,35.91
