MTemp V1.1
CBR,GL 02
,

C:\Users\labadmin\Desktop\Calibration folder\22Jun2017_TDAQ_CAL.ini,
C:\Program Files (x86)\M_Temp\Multi1.cfg
10/08/2017,12:23:26 PM
,3,7,8,9,10
Sample Time,Rectal,CHEST,SHOULDER,THIGH,CALF
hh:mm:ss,Deg C,Deg C,Deg C,Deg C,Deg C
00:00:05,36.29,36.74,36.85,36.23,36.65
00:00:10,36.31,36.75,36.84,36.22,36.65
00:00:15,36.31,36.73,36.83,36.22,36.65
00:00:20,36.31,36.74,36.83,36.22,36.65
00:00:25,36.30,36.74,36.84,36.23,36.65
00:00:30,36.30,36.74,36.84,36.22,36.65
00:00:35,36.29,36.74,36.84,36.21,36.64
00:00:40,36.30,36.73,36.84,36.21,36.64
00:00:45,36.29,36.73,36.84,36.21,36.64
00:00:50,36.29,36.73,36.83,36.20,36.62
00:00:55,36.30,36.72,36.83,36.20,36.63
00:01:00,36.30,36.72,36.82,36.20,36.63
00:01:05,36.30,36.72,36.81,36.18,36.62
00:01:10,36.31,36.72,36.82,36.18,36.60
00:01:15,36.31,36.71,36.81,36.16,36.61
00:01:20,36.31,36.70,36.81,36.16,36.60
00:01:25,36.31,36.71,36.81,36.14,36.59
00:01:30,36.32,36.70,36.82,36.16,36.60
00:01:35,36.32,36.70,36.80,36.15,36.59
00:01:40,36.31,36.70,36.80,36.15,36.60
00:01:45,36.31,36.70,36.80,36.14,36.58
00:01:50,36.30,36.69,36.80,36.13,36.57
00:01:55,36.31,36.69,36.79,36.13,36.56
00:02:00,36.30,36.68,36.79,36.12,36.56
00:02:05,36.30,36.68,36.79,36.12,36.57
00:02:10,36.31,36.68,36.79,36.11,36.56
00:02:15,36.31,36.67,36.78,36.11,36.56
00:02:20,36.31,36.67,36.78,36.11,36.55
00:02:25,36.31,36.67,36.77,36.10,36.55
00:02:30,36.32,36.65,36.78,36.09,36.53
00:02:35,36.33,36.65,36.78,36.08,36.53
00:02:40,36.33,36.64,36.77,36.07,36.54
00:02:45,36.31,36.63,36.76,36.08,36.52
00:02:50,36.32,36.63,36.77,36.07,36.51
00:02:55,36.33,36.62,36.75,36.06,36.51
00:03:00,36.32,36.63,36.76,36.06,36.50
00:03:05,36.34,36.62,36.76,36.06,36.50
00:03:10,36.33,36.62,36.75,36.05,36.50
00:03:15,36.33,36.61,36.76,36.05,36.49
00:03:20,36.33,36.62,36.75,36.05,36.50
00:03:25,36.33,36.62,36.75,36.06,36.49
00:03:30,36.33,36.61,36.75,36.05,36.49
00:03:35,36.34,36.60,36.75,36.06,36.49
00:03:40,36.34,36.61,36.76,36.06,36.48
00:03:45,36.34,36.60,36.75,36.07,36.48
00:03:50,36.34,36.61,36.76,36.05,36.49
00:03:55,36.35,36.62,36.75,36.05,36.47
00:04:00,36.35,36.60,36.75,36.06,36.47
00:04:05,36.36,36.60,36.77,36.06,36.48
00:04:10,36.36,36.60,36.77,36.08,36.48
00:04:15,36.36,36.59,36.76,36.09,36.49
00:04:20,36.37,36.61,36.77,36.10,36.48
00:04:25,36.37,36.60,36.77,36.09,36.49
00:04:30,36.37,36.60,36.76,36.09,36.49
00:04:35,36.37,36.60,36.77,36.10,36.48
00:04:40,36.38,36.60,36.77,36.09,36.48
00:04:45,36.39,36.61,36.77,36.10,36.49
00:04:50,36.38,36.61,36.77,36.10,36.48
00:04:55,36.39,36.60,36.77,36.10,36.49
00:05:00,36.39,36.61,36.77,36.10,36.49
00:05:05,36.40,36.60,36.78,36.11,36.49
00:05:10,36.40,36.62,36.78,36.10,36.49
00:05:15,36.40,36.62,36.79,36.11,36.49
00:05:20,36.40,36.60,36.78,36.12,36.50
00:05:25,36.40,36.62,36.78,36.12,36.49
00:05:30,36.41,36.62,36.78,36.12,36.50
00:05:35,36.42,36.63,36.79,36.13,36.50
00:05:40,36.41,36.62,36.79,36.12,36.50
00:05:45,36.42,36.63,36.80,36.12,36.50
00:05:50,36.42,36.62,36.79,36.12,36.50
00:05:55,36.44,36.62,36.79,36.11,36.50
00:06:00,36.43,36.62,36.80,36.12,36.50
00:06:05,36.44,36.63,36.80,36.11,36.51
00:06:10,36.45,36.63,36.81,36.10,36.51
00:06:15,36.44,36.62,36.81,36.11,36.51
00:06:20,36.45,36.62,36.79,36.11,36.51
