1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: FC0000006EA75A41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 5 second(s)
Mission Start Time:  Wed Mar 16 08:01:01 AEDT 2022
Mission Sample Count:  2328
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Mar 16 08:01:01 AEDT 2022
Total Mission Samples:  2328
Total Device Samples:  73728
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
16/3/22, 8:01:01 am,C,23.726
16/3/22, 8:01:06 am,C,23.726
16/3/22, 8:01:11 am,C,23.726
16/3/22, 8:01:16 am,C,23.726
16/3/22, 8:01:21 am,C,23.726
16/3/22, 8:01:26 am,C,23.726
16/3/22, 8:01:31 am,C,23.726
16/3/22, 8:01:36 am,C,23.726
16/3/22, 8:01:41 am,C,23.726
16/3/22, 8:01:46 am,C,23.726
16/3/22, 8:01:51 am,C,23.726
16/3/22, 8:01:56 am,C,23.726
16/3/22, 8:02:01 am,C,23.726
16/3/22, 8:02:06 am,C,23.789
16/3/22, 8:02:11 am,C,23.789
16/3/22, 8:02:16 am,C,23.789
16/3/22, 8:02:21 am,C,23.789
16/3/22, 8:02:26 am,C,23.789
16/3/22, 8:02:31 am,C,23.789
16/3/22, 8:02:36 am,C,23.789
16/3/22, 8:02:41 am,C,23.789
16/3/22, 8:02:46 am,C,23.789
16/3/22, 8:02:51 am,C,23.789
16/3/22, 8:02:56 am,C,23.789
16/3/22, 8:03:01 am,C,23.789
16/3/22, 8:03:06 am,C,23.789
16/3/22, 8:03:11 am,C,23.789
16/3/22, 8:03:16 am,C,23.789
16/3/22, 8:03:21 am,C,23.789
16/3/22, 8:03:26 am,C,23.789
16/3/22, 8:03:31 am,C,23.789
16/3/22, 8:03:36 am,C,23.789
16/3/22, 8:03:41 am,C,23.789
16/3/22, 8:03:46 am,C,23.789
16/3/22, 8:03:51 am,C,23.789
16/3/22, 8:03:56 am,C,23.789
16/3/22, 8:04:01 am,C,23.851
16/3/22, 8:04:06 am,C,23.851
16/3/22, 8:04:11 am,C,23.851
16/3/22, 8:04:16 am,C,23.851
16/3/22, 8:04:21 am,C,23.851
16/3/22, 8:04:26 am,C,23.851
16/3/22, 8:04:31 am,C,23.851
16/3/22, 8:04:36 am,C,23.851
16/3/22, 8:04:41 am,C,23.851
16/3/22, 8:04:46 am,C,23.851
16/3/22, 8:04:51 am,C,23.851
16/3/22, 8:04:56 am,C,23.851
16/3/22, 8:05:01 am,C,23.851
16/3/22, 8:05:06 am,C,23.851
16/3/22, 8:05:11 am,C,23.851
16/3/22, 8:05:16 am,C,23.851
16/3/22, 8:05:21 am,C,23.851
16/3/22, 8:05:26 am,C,23.851
16/3/22, 8:05:31 am,C,23.851
16/3/22, 8:05:36 am,C,23.851
16/3/22, 8:05:41 am,C,23.851
16/3/22, 8:05:46 am,C,23.851
16/3/22, 8:05:51 am,C,23.851
16/3/22, 8:05:56 am,C,23.851
16/3/22, 8:06:01 am,C,23.914
16/3/22, 8:06:06 am,C,23.914
16/3/22, 8:06:11 am,C,23.914
16/3/22, 8:06:16 am,C,23.914
16/3/22, 8:06:21 am,C,23.914
16/3/22, 8:06:26 am,C,23.914
16/3/22, 8:06:31 am,C,23.914
16/3/22, 8:06:36 am,C,23.914
16/3/22, 8:06:41 am,C,23.914
16/3/22, 8:06:46 am,C,23.914
16/3/22, 8:06:51 am,C,23.914
16/3/22, 8:06:56 am,C,23.914
16/3/22, 8:07:01 am,C,23.914
16/3/22, 8:07:06 am,C,23.914
16/3/22, 8:07:11 am,C,23.914
16/3/22, 8:07:16 am,C,23.914
16/3/22, 8:07:21 am,C,23.914
16/3/22, 8:07:26 am,C,23.914
16/3/22, 8:07:31 am,C,23.914
16/3/22, 8:07:36 am,C,23.914
16/3/22, 8:07:41 am,C,23.914
16/3/22, 8:07:46 am,C,23.914
16/3/22, 8:07:51 am,C,23.914
16/3/22, 8:07:56 am,C,23.914
16/3/22, 8:08:01 am,C,23.914
16/3/22, 8:08:06 am,C,23.914
16/3/22, 8:08:11 am,C,23.914
16/3/22, 8:08:16 am,C,23.914
16/3/22, 8:08:21 am,C,23.914
16/3/22, 8:08:26 am,C,23.914
16/3/22, 8:08:31 am,C,23.914
16/3/22, 8:08:36 am,C,23.914
16/3/22, 8:08:41 am,C,23.914
16/3/22, 8:08:46 am,C,23.977
16/3/22, 8:08:51 am,C,23.977
16/3/22, 8:08:56 am,C,23.914
16/3/22, 8:09:01 am,C,23.914
16/3/22, 8:09:06 am,C,23.977
16/3/22, 8:09:11 am,C,23.977
16/3/22, 8:09:16 am,C,23.977
16/3/22, 8:09:21 am,C,23.977
16/3/22, 8:09:26 am,C,23.977
16/3/22, 8:09:31 am,C,23.977
16/3/22, 8:09:36 am,C,23.977
16/3/22, 8:09:41 am,C,23.977
16/3/22, 8:09:46 am,C,23.977
16/3/22, 8:09:51 am,C,23.977
16/3/22, 8:09:56 am,C,23.977
16/3/22, 8:10:01 am,C,23.977
16/3/22, 8:10:06 am,C,23.977
16/3/22, 8:10:11 am,C,23.977
16/3/22, 8:10:16 am,C,23.977
16/3/22, 8:10:21 am,C,23.977
16/3/22, 8:10:26 am,C,23.977
16/3/22, 8:10:31 am,C,23.977
16/3/22, 8:10:36 am,C,23.977
16/3/22, 8:10:41 am,C,23.977
16/3/22, 8:10:46 am,C,23.977
16/3/22, 8:10:51 am,C,23.977
16/3/22, 8:10:56 am,C,23.977
16/3/22, 8:11:01 am,C,23.977
16/3/22, 8:11:06 am,C,23.977
16/3/22, 8:11:11 am,C,23.977
16/3/22, 8:11:16 am,C,23.977
16/3/22, 8:11:21 am,C,23.977
16/3/22, 8:11:26 am,C,23.977
16/3/22, 8:11:31 am,C,24.039
16/3/22, 8:11:36 am,C,24.039
16/3/22, 8:11:41 am,C,24.039
16/3/22, 8:11:46 am,C,24.039
16/3/22, 8:11:51 am,C,24.039
16/3/22, 8:11:56 am,C,24.039
16/3/22, 8:12:01 am,C,24.039
16/3/22, 8:12:06 am,C,24.039
16/3/22, 8:12:11 am,C,24.039
16/3/22, 8:12:16 am,C,24.039
16/3/22, 8:12:21 am,C,24.039
16/3/22, 8:12:26 am,C,24.039
16/3/22, 8:12:31 am,C,24.039
16/3/22, 8:12:36 am,C,24.039
16/3/22, 8:12:41 am,C,24.039
16/3/22, 8:12:46 am,C,24.039
16/3/22, 8:12:51 am,C,24.039
16/3/22, 8:12:56 am,C,24.039
16/3/22, 8:13:01 am,C,24.039
16/3/22, 8:13:06 am,C,24.039
16/3/22, 8:13:11 am,C,24.039
16/3/22, 8:13:16 am,C,24.039
16/3/22, 8:13:21 am,C,24.039
16/3/22, 8:13:26 am,C,24.039
16/3/22, 8:13:31 am,C,24.039
16/3/22, 8:13:36 am,C,24.039
16/3/22, 8:13:41 am,C,24.039
16/3/22, 8:13:46 am,C,24.039
16/3/22, 8:13:51 am,C,24.039
16/3/22, 8:13:56 am,C,24.039
16/3/22, 8:14:01 am,C,24.039
16/3/22, 8:14:06 am,C,24.039
16/3/22, 8:14:11 am,C,24.039
16/3/22, 8:14:16 am,C,24.039
16/3/22, 8:14:21 am,C,24.039
16/3/22, 8:14:26 am,C,24.039
16/3/22, 8:14:31 am,C,24.039
16/3/22, 8:14:36 am,C,24.039
16/3/22, 8:14:41 am,C,24.039
16/3/22, 8:14:46 am,C,24.039
16/3/22, 8:14:51 am,C,24.039
16/3/22, 8:14:56 am,C,24.039
16/3/22, 8:15:01 am,C,24.039
16/3/22, 8:15:06 am,C,24.039
16/3/22, 8:15:11 am,C,24.039
16/3/22, 8:15:16 am,C,24.039
16/3/22, 8:15:21 am,C,24.039
16/3/22, 8:15:26 am,C,24.039
16/3/22, 8:15:31 am,C,24.039
16/3/22, 8:15:36 am,C,24.039
16/3/22, 8:15:41 am,C,24.039
16/3/22, 8:15:46 am,C,24.039
16/3/22, 8:15:51 am,C,24.039
16/3/22, 8:15:56 am,C,24.039
16/3/22, 8:16:01 am,C,24.039
16/3/22, 8:16:06 am,C,24.039
16/3/22, 8:16:11 am,C,24.102
16/3/22, 8:16:16 am,C,24.039
16/3/22, 8:16:21 am,C,24.102
16/3/22, 8:16:26 am,C,24.102
16/3/22, 8:16:31 am,C,24.102
16/3/22, 8:16:36 am,C,24.102
16/3/22, 8:16:41 am,C,24.102
16/3/22, 8:16:46 am,C,24.102
16/3/22, 8:16:51 am,C,24.102
16/3/22, 8:16:56 am,C,24.102
16/3/22, 8:17:01 am,C,24.102
16/3/22, 8:17:06 am,C,24.102
16/3/22, 8:17:11 am,C,24.102
16/3/22, 8:17:16 am,C,24.102
16/3/22, 8:17:21 am,C,24.102
16/3/22, 8:17:26 am,C,24.164
16/3/22, 8:17:31 am,C,24.164
16/3/22, 8:17:36 am,C,24.164
16/3/22, 8:17:41 am,C,24.164
16/3/22, 8:17:46 am,C,24.164
16/3/22, 8:17:51 am,C,24.164
16/3/22, 8:17:56 am,C,24.164
16/3/22, 8:18:01 am,C,24.164
16/3/22, 8:18:06 am,C,24.164
16/3/22, 8:18:11 am,C,24.164
16/3/22, 8:18:16 am,C,24.164
16/3/22, 8:18:21 am,C,24.164
16/3/22, 8:18:26 am,C,24.164
16/3/22, 8:18:31 am,C,24.227
16/3/22, 8:18:36 am,C,24.164
16/3/22, 8:18:41 am,C,24.164
16/3/22, 8:18:46 am,C,24.164
16/3/22, 8:18:51 am,C,24.227
16/3/22, 8:18:56 am,C,24.227
16/3/22, 8:19:01 am,C,24.227
16/3/22, 8:19:06 am,C,24.227
16/3/22, 8:19:11 am,C,24.227
16/3/22, 8:19:16 am,C,24.227
16/3/22, 8:19:21 am,C,24.352
16/3/22, 8:19:26 am,C,24.602
16/3/22, 8:19:31 am,C,24.852
16/3/22, 8:19:36 am,C,25.352
16/3/22, 8:19:41 am,C,25.914
16/3/22, 8:19:46 am,C,26.351
16/3/22, 8:19:51 am,C,26.789
16/3/22, 8:19:56 am,C,27.164
16/3/22, 8:20:01 am,C,27.476
16/3/22, 8:20:06 am,C,27.726
16/3/22, 8:20:11 am,C,27.976
16/3/22, 8:20:16 am,C,28.163
16/3/22, 8:20:21 am,C,28.413
16/3/22, 8:20:26 am,C,28.601
16/3/22, 8:20:31 am,C,28.788
16/3/22, 8:20:36 am,C,28.913
16/3/22, 8:20:41 am,C,29.038
16/3/22, 8:20:46 am,C,29.225
16/3/22, 8:20:51 am,C,29.35
16/3/22, 8:20:56 am,C,29.475
16/3/22, 8:21:01 am,C,29.537
16/3/22, 8:21:06 am,C,29.662
16/3/22, 8:21:11 am,C,29.725
16/3/22, 8:21:16 am,C,29.85
16/3/22, 8:21:21 am,C,29.912
16/3/22, 8:21:26 am,C,29.975
16/3/22, 8:21:31 am,C,30.037
16/3/22, 8:21:36 am,C,30.1
16/3/22, 8:21:41 am,C,30.162
16/3/22, 8:21:46 am,C,30.224
16/3/22, 8:21:51 am,C,30.287
16/3/22, 8:21:56 am,C,30.349
16/3/22, 8:22:01 am,C,30.412
16/3/22, 8:22:06 am,C,30.474
16/3/22, 8:22:11 am,C,30.537
16/3/22, 8:22:16 am,C,30.599
16/3/22, 8:22:21 am,C,30.599
16/3/22, 8:22:26 am,C,30.599
16/3/22, 8:22:31 am,C,30.662
16/3/22, 8:22:36 am,C,30.662
16/3/22, 8:22:41 am,C,30.724
16/3/22, 8:22:46 am,C,30.724
16/3/22, 8:22:51 am,C,30.786
16/3/22, 8:22:56 am,C,30.786
16/3/22, 8:23:01 am,C,30.849
16/3/22, 8:23:06 am,C,30.849
16/3/22, 8:23:11 am,C,30.911
16/3/22, 8:23:16 am,C,30.911
16/3/22, 8:23:21 am,C,30.974
16/3/22, 8:23:26 am,C,30.974
16/3/22, 8:23:31 am,C,30.974
16/3/22, 8:23:36 am,C,30.974
16/3/22, 8:23:41 am,C,30.974
16/3/22, 8:23:46 am,C,31.036
16/3/22, 8:23:51 am,C,31.036
16/3/22, 8:23:56 am,C,31.036
16/3/22, 8:24:01 am,C,31.036
16/3/22, 8:24:06 am,C,31.036
16/3/22, 8:24:11 am,C,31.036
16/3/22, 8:24:16 am,C,31.036
16/3/22, 8:24:21 am,C,31.099
16/3/22, 8:24:26 am,C,31.099
16/3/22, 8:24:31 am,C,31.161
16/3/22, 8:24:36 am,C,31.161
16/3/22, 8:24:41 am,C,31.161
16/3/22, 8:24:46 am,C,31.161
16/3/22, 8:24:51 am,C,31.161
16/3/22, 8:24:56 am,C,31.161
16/3/22, 8:25:01 am,C,31.224
16/3/22, 8:25:06 am,C,31.224
16/3/22, 8:25:11 am,C,31.161
16/3/22, 8:25:16 am,C,31.161
16/3/22, 8:25:21 am,C,31.161
16/3/22, 8:25:26 am,C,31.161
16/3/22, 8:25:31 am,C,31.161
16/3/22, 8:25:36 am,C,31.161
16/3/22, 8:25:41 am,C,31.161
16/3/22, 8:25:46 am,C,31.161
16/3/22, 8:25:51 am,C,31.161
16/3/22, 8:25:56 am,C,31.099
16/3/22, 8:26:01 am,C,31.099
16/3/22, 8:26:06 am,C,31.099
16/3/22, 8:26:11 am,C,31.099
16/3/22, 8:26:16 am,C,31.099
16/3/22, 8:26:21 am,C,31.099
16/3/22, 8:26:26 am,C,31.099
16/3/22, 8:26:31 am,C,31.099
16/3/22, 8:26:36 am,C,31.036
16/3/22, 8:26:41 am,C,31.036
16/3/22, 8:26:46 am,C,31.036
16/3/22, 8:26:51 am,C,31.036
16/3/22, 8:26:56 am,C,30.974
16/3/22, 8:27:01 am,C,30.974
16/3/22, 8:27:06 am,C,30.974
16/3/22, 8:27:11 am,C,30.974
