1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 2D0000006EAA0441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 5 second(s)
Mission Start Time:  Thu Mar 17 09:00:01 AEDT 2022
Mission Sample Count:  1689
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Mar 17 09:00:01 AEDT 2022
Total Mission Samples:  1689
Total Device Samples:  92654
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
17/3/22, 9:00:01 am,C,23.732
17/3/22, 9:00:06 am,C,23.732
17/3/22, 9:00:11 am,C,23.732
17/3/22, 9:00:16 am,C,23.732
17/3/22, 9:00:21 am,C,23.732
17/3/22, 9:00:26 am,C,23.732
17/3/22, 9:00:31 am,C,23.732
17/3/22, 9:00:36 am,C,23.732
17/3/22, 9:00:41 am,C,23.732
17/3/22, 9:00:46 am,C,23.732
17/3/22, 9:00:51 am,C,23.732
17/3/22, 9:00:56 am,C,23.732
17/3/22, 9:01:01 am,C,23.732
17/3/22, 9:01:06 am,C,23.732
17/3/22, 9:01:11 am,C,23.732
17/3/22, 9:01:16 am,C,23.732
17/3/22, 9:01:21 am,C,23.732
17/3/22, 9:01:26 am,C,23.732
17/3/22, 9:01:31 am,C,23.732
17/3/22, 9:01:36 am,C,23.732
17/3/22, 9:01:41 am,C,23.732
17/3/22, 9:01:46 am,C,23.732
17/3/22, 9:01:51 am,C,23.732
17/3/22, 9:01:56 am,C,23.732
17/3/22, 9:02:01 am,C,23.732
17/3/22, 9:02:06 am,C,23.732
17/3/22, 9:02:11 am,C,23.732
17/3/22, 9:02:16 am,C,23.732
17/3/22, 9:02:21 am,C,23.732
17/3/22, 9:02:26 am,C,23.732
17/3/22, 9:02:31 am,C,23.732
17/3/22, 9:02:36 am,C,23.795
17/3/22, 9:02:41 am,C,23.795
17/3/22, 9:02:46 am,C,23.795
17/3/22, 9:02:51 am,C,23.795
17/3/22, 9:02:56 am,C,23.795
17/3/22, 9:03:01 am,C,23.795
17/3/22, 9:03:06 am,C,23.795
17/3/22, 9:03:11 am,C,23.795
17/3/22, 9:03:16 am,C,23.795
17/3/22, 9:03:21 am,C,23.795
17/3/22, 9:03:26 am,C,23.795
17/3/22, 9:03:31 am,C,23.795
17/3/22, 9:03:36 am,C,23.795
17/3/22, 9:03:41 am,C,23.795
17/3/22, 9:03:46 am,C,23.795
17/3/22, 9:03:51 am,C,23.795
17/3/22, 9:03:56 am,C,23.795
17/3/22, 9:04:01 am,C,23.795
17/3/22, 9:04:06 am,C,23.795
17/3/22, 9:04:11 am,C,23.795
17/3/22, 9:04:16 am,C,23.795
17/3/22, 9:04:21 am,C,23.795
17/3/22, 9:04:26 am,C,23.795
17/3/22, 9:04:31 am,C,23.795
17/3/22, 9:04:36 am,C,23.795
17/3/22, 9:04:41 am,C,23.795
17/3/22, 9:04:46 am,C,23.795
17/3/22, 9:04:51 am,C,23.795
17/3/22, 9:04:56 am,C,23.795
17/3/22, 9:05:01 am,C,23.795
17/3/22, 9:05:06 am,C,23.795
17/3/22, 9:05:11 am,C,23.795
17/3/22, 9:05:16 am,C,23.795
17/3/22, 9:05:21 am,C,23.795
17/3/22, 9:05:26 am,C,23.795
17/3/22, 9:05:31 am,C,23.795
17/3/22, 9:05:36 am,C,23.795
17/3/22, 9:05:41 am,C,23.795
17/3/22, 9:05:46 am,C,23.795
17/3/22, 9:05:51 am,C,23.795
17/3/22, 9:05:56 am,C,23.795
17/3/22, 9:06:01 am,C,23.857
17/3/22, 9:06:06 am,C,23.857
17/3/22, 9:06:11 am,C,23.857
17/3/22, 9:06:16 am,C,23.857
17/3/22, 9:06:21 am,C,23.857
17/3/22, 9:06:26 am,C,23.857
17/3/22, 9:06:31 am,C,23.857
17/3/22, 9:06:36 am,C,23.857
17/3/22, 9:06:41 am,C,23.857
17/3/22, 9:06:46 am,C,23.857
17/3/22, 9:06:51 am,C,23.857
17/3/22, 9:06:56 am,C,23.857
17/3/22, 9:07:01 am,C,23.857
17/3/22, 9:07:06 am,C,23.857
17/3/22, 9:07:11 am,C,23.857
17/3/22, 9:07:16 am,C,23.857
17/3/22, 9:07:21 am,C,23.857
17/3/22, 9:07:26 am,C,23.857
17/3/22, 9:07:31 am,C,23.857
17/3/22, 9:07:36 am,C,23.857
17/3/22, 9:07:41 am,C,23.857
17/3/22, 9:07:46 am,C,23.857
17/3/22, 9:07:51 am,C,23.857
17/3/22, 9:07:56 am,C,23.857
17/3/22, 9:08:01 am,C,23.857
17/3/22, 9:08:06 am,C,23.857
17/3/22, 9:08:11 am,C,23.857
17/3/22, 9:08:16 am,C,23.857
17/3/22, 9:08:21 am,C,23.857
17/3/22, 9:08:26 am,C,23.857
17/3/22, 9:08:31 am,C,23.857
17/3/22, 9:08:36 am,C,23.857
17/3/22, 9:08:41 am,C,23.857
17/3/22, 9:08:46 am,C,23.857
17/3/22, 9:08:51 am,C,23.857
17/3/22, 9:08:56 am,C,23.857
17/3/22, 9:09:01 am,C,23.857
17/3/22, 9:09:06 am,C,23.857
17/3/22, 9:09:11 am,C,23.857
17/3/22, 9:09:16 am,C,23.857
17/3/22, 9:09:21 am,C,23.857
17/3/22, 9:09:26 am,C,23.857
17/3/22, 9:09:31 am,C,23.92
17/3/22, 9:09:36 am,C,23.92
17/3/22, 9:09:41 am,C,23.92
17/3/22, 9:09:46 am,C,23.92
17/3/22, 9:09:51 am,C,23.92
17/3/22, 9:09:56 am,C,23.92
17/3/22, 9:10:01 am,C,23.92
17/3/22, 9:10:06 am,C,23.92
17/3/22, 9:10:11 am,C,23.92
17/3/22, 9:10:16 am,C,23.92
17/3/22, 9:10:21 am,C,23.92
17/3/22, 9:10:26 am,C,23.92
17/3/22, 9:10:31 am,C,23.92
17/3/22, 9:10:36 am,C,23.92
17/3/22, 9:10:41 am,C,23.92
17/3/22, 9:10:46 am,C,23.92
17/3/22, 9:10:51 am,C,23.92
17/3/22, 9:10:56 am,C,23.92
17/3/22, 9:11:01 am,C,23.92
17/3/22, 9:11:06 am,C,23.92
17/3/22, 9:11:11 am,C,23.92
17/3/22, 9:11:16 am,C,23.92
17/3/22, 9:11:21 am,C,23.92
17/3/22, 9:11:26 am,C,23.92
17/3/22, 9:11:31 am,C,23.982
17/3/22, 9:11:36 am,C,23.982
17/3/22, 9:11:41 am,C,23.982
17/3/22, 9:11:46 am,C,23.982
17/3/22, 9:11:51 am,C,23.982
17/3/22, 9:11:56 am,C,23.982
17/3/22, 9:12:01 am,C,23.982
17/3/22, 9:12:06 am,C,23.982
17/3/22, 9:12:11 am,C,23.982
17/3/22, 9:12:16 am,C,23.982
17/3/22, 9:12:21 am,C,23.982
17/3/22, 9:12:26 am,C,23.982
17/3/22, 9:12:31 am,C,23.982
17/3/22, 9:12:36 am,C,23.982
17/3/22, 9:12:41 am,C,23.982
17/3/22, 9:12:46 am,C,23.982
17/3/22, 9:12:51 am,C,23.982
17/3/22, 9:12:56 am,C,23.982
17/3/22, 9:13:01 am,C,23.982
17/3/22, 9:13:06 am,C,23.982
17/3/22, 9:13:11 am,C,23.982
17/3/22, 9:13:16 am,C,23.982
17/3/22, 9:13:21 am,C,23.982
17/3/22, 9:13:26 am,C,23.982
17/3/22, 9:13:31 am,C,23.982
17/3/22, 9:13:36 am,C,23.982
17/3/22, 9:13:41 am,C,23.982
17/3/22, 9:13:46 am,C,23.982
17/3/22, 9:13:51 am,C,23.982
17/3/22, 9:13:56 am,C,23.982
17/3/22, 9:14:01 am,C,23.982
17/3/22, 9:14:06 am,C,23.982
17/3/22, 9:14:11 am,C,24.045
17/3/22, 9:14:16 am,C,24.045
17/3/22, 9:14:21 am,C,24.045
17/3/22, 9:14:26 am,C,24.17
17/3/22, 9:14:31 am,C,24.232
17/3/22, 9:14:36 am,C,24.295
17/3/22, 9:14:41 am,C,24.357
17/3/22, 9:14:46 am,C,24.357
17/3/22, 9:14:51 am,C,24.357
17/3/22, 9:14:56 am,C,24.357
17/3/22, 9:15:01 am,C,24.357
17/3/22, 9:15:06 am,C,24.42
17/3/22, 9:15:11 am,C,24.42
17/3/22, 9:15:16 am,C,24.42
17/3/22, 9:15:21 am,C,24.482
17/3/22, 9:15:26 am,C,24.482
17/3/22, 9:15:31 am,C,24.482
17/3/22, 9:15:36 am,C,24.482
17/3/22, 9:15:41 am,C,24.545
17/3/22, 9:15:46 am,C,24.545
17/3/22, 9:15:51 am,C,24.545
17/3/22, 9:15:56 am,C,24.545
17/3/22, 9:16:01 am,C,24.545
17/3/22, 9:16:06 am,C,24.607
