1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 7F0000006EA21541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 5 second(s)
Mission Start Time:  Fri Mar 18 08:00:01 AEDT 2022
Mission Sample Count:  2404
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Fri Mar 18 08:00:01 AEDT 2022
Total Mission Samples:  2404
Total Device Samples:  59999
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
18/3/22, 8:00:01 am,C,24.365
18/3/22, 8:00:06 am,C,24.428
18/3/22, 8:00:11 am,C,24.428
18/3/22, 8:00:16 am,C,24.428
18/3/22, 8:00:21 am,C,24.428
18/3/22, 8:00:26 am,C,24.428
18/3/22, 8:00:31 am,C,24.428
18/3/22, 8:00:36 am,C,24.428
18/3/22, 8:00:41 am,C,24.365
18/3/22, 8:00:46 am,C,24.365
18/3/22, 8:00:51 am,C,24.428
18/3/22, 8:00:56 am,C,24.365
18/3/22, 8:01:01 am,C,24.365
18/3/22, 8:01:06 am,C,24.365
18/3/22, 8:01:11 am,C,24.365
18/3/22, 8:01:16 am,C,24.365
18/3/22, 8:01:21 am,C,24.365
18/3/22, 8:01:26 am,C,24.365
18/3/22, 8:01:31 am,C,24.365
18/3/22, 8:01:36 am,C,24.365
18/3/22, 8:01:41 am,C,24.365
18/3/22, 8:01:46 am,C,24.365
18/3/22, 8:01:51 am,C,24.365
18/3/22, 8:01:56 am,C,24.365
18/3/22, 8:02:01 am,C,24.365
18/3/22, 8:02:06 am,C,24.365
18/3/22, 8:02:11 am,C,24.365
18/3/22, 8:02:16 am,C,24.365
18/3/22, 8:02:21 am,C,24.365
18/3/22, 8:02:26 am,C,24.365
18/3/22, 8:02:31 am,C,24.365
18/3/22, 8:02:36 am,C,24.365
18/3/22, 8:02:41 am,C,24.365
18/3/22, 8:02:46 am,C,24.365
18/3/22, 8:02:51 am,C,24.365
18/3/22, 8:02:56 am,C,24.365
18/3/22, 8:03:01 am,C,24.365
18/3/22, 8:03:06 am,C,24.365
18/3/22, 8:03:11 am,C,24.365
18/3/22, 8:03:16 am,C,24.365
18/3/22, 8:03:21 am,C,24.365
18/3/22, 8:03:26 am,C,24.365
18/3/22, 8:03:31 am,C,24.365
18/3/22, 8:03:36 am,C,24.365
18/3/22, 8:03:41 am,C,24.365
18/3/22, 8:03:46 am,C,24.365
18/3/22, 8:03:51 am,C,24.365
18/3/22, 8:03:56 am,C,24.365
18/3/22, 8:04:01 am,C,24.365
18/3/22, 8:04:06 am,C,24.365
18/3/22, 8:04:11 am,C,24.365
18/3/22, 8:04:16 am,C,24.365
18/3/22, 8:04:21 am,C,24.365
18/3/22, 8:04:26 am,C,24.365
18/3/22, 8:04:31 am,C,24.428
18/3/22, 8:04:36 am,C,24.428
18/3/22, 8:04:41 am,C,24.365
18/3/22, 8:04:46 am,C,24.365
18/3/22, 8:04:51 am,C,24.365
18/3/22, 8:04:56 am,C,24.428
18/3/22, 8:05:01 am,C,24.428
18/3/22, 8:05:06 am,C,24.365
18/3/22, 8:05:11 am,C,24.428
18/3/22, 8:05:16 am,C,24.365
18/3/22, 8:05:21 am,C,24.365
18/3/22, 8:05:26 am,C,24.365
18/3/22, 8:05:31 am,C,24.365
18/3/22, 8:05:36 am,C,24.365
18/3/22, 8:05:41 am,C,24.365
18/3/22, 8:05:46 am,C,24.365
18/3/22, 8:05:51 am,C,24.365
18/3/22, 8:05:56 am,C,24.365
18/3/22, 8:06:01 am,C,24.365
18/3/22, 8:06:06 am,C,24.365
18/3/22, 8:06:11 am,C,24.365
18/3/22, 8:06:16 am,C,24.365
18/3/22, 8:06:21 am,C,24.365
18/3/22, 8:06:26 am,C,24.365
18/3/22, 8:06:31 am,C,24.365
18/3/22, 8:06:36 am,C,24.428
18/3/22, 8:06:41 am,C,24.428
18/3/22, 8:06:46 am,C,24.365
18/3/22, 8:06:51 am,C,24.428
18/3/22, 8:06:56 am,C,24.365
18/3/22, 8:07:01 am,C,24.365
18/3/22, 8:07:06 am,C,24.365
18/3/22, 8:07:11 am,C,24.428
18/3/22, 8:07:16 am,C,24.428
18/3/22, 8:07:21 am,C,24.428
18/3/22, 8:07:26 am,C,24.365
18/3/22, 8:07:31 am,C,24.428
18/3/22, 8:07:36 am,C,24.365
18/3/22, 8:07:41 am,C,24.365
18/3/22, 8:07:46 am,C,24.428
18/3/22, 8:07:51 am,C,24.365
18/3/22, 8:07:56 am,C,24.428
18/3/22, 8:08:01 am,C,24.365
18/3/22, 8:08:06 am,C,24.365
18/3/22, 8:08:11 am,C,24.365
18/3/22, 8:08:16 am,C,24.365
18/3/22, 8:08:21 am,C,24.365
18/3/22, 8:08:26 am,C,24.365
18/3/22, 8:08:31 am,C,24.365
18/3/22, 8:08:36 am,C,24.365
18/3/22, 8:08:41 am,C,24.365
18/3/22, 8:08:46 am,C,24.365
18/3/22, 8:08:51 am,C,24.365
18/3/22, 8:08:56 am,C,24.365
18/3/22, 8:09:01 am,C,24.365
18/3/22, 8:09:06 am,C,24.365
18/3/22, 8:09:11 am,C,24.365
18/3/22, 8:09:16 am,C,24.365
18/3/22, 8:09:21 am,C,24.365
18/3/22, 8:09:26 am,C,24.365
18/3/22, 8:09:31 am,C,24.365
18/3/22, 8:09:36 am,C,24.365
18/3/22, 8:09:41 am,C,24.365
18/3/22, 8:09:46 am,C,24.365
18/3/22, 8:09:51 am,C,24.365
18/3/22, 8:09:56 am,C,24.365
18/3/22, 8:10:01 am,C,24.365
18/3/22, 8:10:06 am,C,24.365
18/3/22, 8:10:11 am,C,24.365
18/3/22, 8:10:16 am,C,24.365
18/3/22, 8:10:21 am,C,24.365
18/3/22, 8:10:26 am,C,24.365
18/3/22, 8:10:31 am,C,24.365
18/3/22, 8:10:36 am,C,24.365
18/3/22, 8:10:41 am,C,24.365
18/3/22, 8:10:46 am,C,24.365
18/3/22, 8:10:51 am,C,24.365
18/3/22, 8:10:56 am,C,24.365
18/3/22, 8:11:01 am,C,24.365
18/3/22, 8:11:06 am,C,24.365
18/3/22, 8:11:11 am,C,24.365
18/3/22, 8:11:16 am,C,24.365
18/3/22, 8:11:21 am,C,24.365
18/3/22, 8:11:26 am,C,24.365
18/3/22, 8:11:31 am,C,24.365
18/3/22, 8:11:36 am,C,24.365
18/3/22, 8:11:41 am,C,24.365
18/3/22, 8:11:46 am,C,24.365
18/3/22, 8:11:51 am,C,24.365
18/3/22, 8:11:56 am,C,24.365
18/3/22, 8:12:01 am,C,24.365
18/3/22, 8:12:06 am,C,24.365
18/3/22, 8:12:11 am,C,24.365
18/3/22, 8:12:16 am,C,24.365
18/3/22, 8:12:21 am,C,24.428
18/3/22, 8:12:26 am,C,24.365
18/3/22, 8:12:31 am,C,24.365
18/3/22, 8:12:36 am,C,24.365
18/3/22, 8:12:41 am,C,24.365
18/3/22, 8:12:46 am,C,24.365
18/3/22, 8:12:51 am,C,24.365
18/3/22, 8:12:56 am,C,24.365
18/3/22, 8:13:01 am,C,24.428
18/3/22, 8:13:06 am,C,24.428
18/3/22, 8:13:11 am,C,24.365
18/3/22, 8:13:16 am,C,24.428
18/3/22, 8:13:21 am,C,24.428
18/3/22, 8:13:26 am,C,24.428
18/3/22, 8:13:31 am,C,24.428
18/3/22, 8:13:36 am,C,24.365
18/3/22, 8:13:41 am,C,24.428
18/3/22, 8:13:46 am,C,24.428
18/3/22, 8:13:51 am,C,24.428
18/3/22, 8:13:56 am,C,24.428
18/3/22, 8:14:01 am,C,24.678
18/3/22, 8:14:06 am,C,25.24
18/3/22, 8:14:11 am,C,25.803
18/3/22, 8:14:16 am,C,26.303
18/3/22, 8:14:21 am,C,26.678
18/3/22, 8:14:26 am,C,27.052
18/3/22, 8:14:31 am,C,27.427
18/3/22, 8:14:36 am,C,27.677
18/3/22, 8:14:41 am,C,27.927
18/3/22, 8:14:46 am,C,28.177
18/3/22, 8:14:51 am,C,28.427
18/3/22, 8:14:56 am,C,28.614
18/3/22, 8:15:01 am,C,28.864
18/3/22, 8:15:06 am,C,29.051
18/3/22, 8:15:11 am,C,29.176
18/3/22, 8:15:16 am,C,29.364
18/3/22, 8:15:21 am,C,29.551
18/3/22, 8:15:26 am,C,29.676
18/3/22, 8:15:31 am,C,29.863
18/3/22, 8:15:36 am,C,29.988
18/3/22, 8:15:41 am,C,30.113
18/3/22, 8:15:46 am,C,30.238
18/3/22, 8:15:51 am,C,30.363
18/3/22, 8:15:56 am,C,30.488
18/3/22, 8:16:01 am,C,30.55
18/3/22, 8:16:06 am,C,30.675
18/3/22, 8:16:11 am,C,30.8
18/3/22, 8:16:16 am,C,30.863
18/3/22, 8:16:21 am,C,30.988
18/3/22, 8:16:26 am,C,31.112
18/3/22, 8:16:31 am,C,31.175
18/3/22, 8:16:36 am,C,31.237
18/3/22, 8:16:41 am,C,31.362
18/3/22, 8:16:46 am,C,31.425
18/3/22, 8:16:51 am,C,31.487
18/3/22, 8:16:56 am,C,31.612
18/3/22, 8:17:01 am,C,31.674
18/3/22, 8:17:06 am,C,31.737
18/3/22, 8:17:11 am,C,31.799
18/3/22, 8:17:16 am,C,31.862
18/3/22, 8:17:21 am,C,31.924
18/3/22, 8:17:26 am,C,31.987
18/3/22, 8:17:31 am,C,32.049
18/3/22, 8:17:36 am,C,32.111
18/3/22, 8:17:41 am,C,32.174
18/3/22, 8:17:46 am,C,32.236
18/3/22, 8:17:51 am,C,32.299
18/3/22, 8:17:56 am,C,32.299
18/3/22, 8:18:01 am,C,32.361
18/3/22, 8:18:06 am,C,32.424
18/3/22, 8:18:11 am,C,32.424
18/3/22, 8:18:16 am,C,32.486
18/3/22, 8:18:21 am,C,32.548
18/3/22, 8:18:26 am,C,32.548
18/3/22, 8:18:31 am,C,32.611
18/3/22, 8:18:36 am,C,32.611
18/3/22, 8:18:41 am,C,32.673
18/3/22, 8:18:46 am,C,32.736
18/3/22, 8:18:51 am,C,32.736
18/3/22, 8:18:56 am,C,32.798
18/3/22, 8:19:01 am,C,32.798
18/3/22, 8:19:06 am,C,32.861
18/3/22, 8:19:11 am,C,32.861
18/3/22, 8:19:16 am,C,32.923
18/3/22, 8:19:21 am,C,32.923
18/3/22, 8:19:26 am,C,32.985
18/3/22, 8:19:31 am,C,32.985
18/3/22, 8:19:36 am,C,32.985
18/3/22, 8:19:41 am,C,33.048
18/3/22, 8:19:46 am,C,33.048
18/3/22, 8:19:51 am,C,33.11
18/3/22, 8:19:56 am,C,33.11
18/3/22, 8:20:01 am,C,33.11
18/3/22, 8:20:06 am,C,33.173
18/3/22, 8:20:11 am,C,33.173
18/3/22, 8:20:16 am,C,33.173
18/3/22, 8:20:21 am,C,33.235
18/3/22, 8:20:26 am,C,33.235
18/3/22, 8:20:31 am,C,33.298
18/3/22, 8:20:36 am,C,33.298
18/3/22, 8:20:41 am,C,33.298
18/3/22, 8:20:46 am,C,33.36
18/3/22, 8:20:51 am,C,33.36
18/3/22, 8:20:56 am,C,33.36
18/3/22, 8:21:01 am,C,33.422
18/3/22, 8:21:06 am,C,33.422
18/3/22, 8:21:11 am,C,33.422
18/3/22, 8:21:16 am,C,33.485
18/3/22, 8:21:21 am,C,33.485
18/3/22, 8:21:26 am,C,33.485
18/3/22, 8:21:31 am,C,33.485
18/3/22, 8:21:36 am,C,33.547
18/3/22, 8:21:41 am,C,33.547
18/3/22, 8:21:46 am,C,33.547
18/3/22, 8:21:51 am,C,33.547
18/3/22, 8:21:56 am,C,33.61
18/3/22, 8:22:01 am,C,33.61
18/3/22, 8:22:06 am,C,33.61
18/3/22, 8:22:11 am,C,33.61
18/3/22, 8:22:16 am,C,33.61
18/3/22, 8:22:21 am,C,33.61
18/3/22, 8:22:26 am,C,33.61
18/3/22, 8:22:31 am,C,33.672
18/3/22, 8:22:36 am,C,33.672
18/3/22, 8:22:41 am,C,33.672
18/3/22, 8:22:46 am,C,33.672
18/3/22, 8:22:51 am,C,33.672
18/3/22, 8:22:56 am,C,33.672
18/3/22, 8:23:01 am,C,33.672
18/3/22, 8:23:06 am,C,33.734
18/3/22, 8:23:11 am,C,33.734
18/3/22, 8:23:16 am,C,33.734
18/3/22, 8:23:21 am,C,33.734
18/3/22, 8:23:26 am,C,33.734
18/3/22, 8:23:31 am,C,33.797
18/3/22, 8:23:36 am,C,33.797
18/3/22, 8:23:41 am,C,33.797
18/3/22, 8:23:46 am,C,33.797
18/3/22, 8:23:51 am,C,33.797
18/3/22, 8:23:56 am,C,33.859
18/3/22, 8:24:01 am,C,33.859
18/3/22, 8:24:06 am,C,33.859
18/3/22, 8:24:11 am,C,33.859
18/3/22, 8:24:16 am,C,33.859
18/3/22, 8:24:21 am,C,33.859
18/3/22, 8:24:26 am,C,33.859
18/3/22, 8:24:31 am,C,33.859
18/3/22, 8:24:36 am,C,33.859
18/3/22, 8:24:41 am,C,33.922
18/3/22, 8:24:46 am,C,33.922
18/3/22, 8:24:51 am,C,33.922
18/3/22, 8:24:56 am,C,33.922
18/3/22, 8:25:01 am,C,33.922
18/3/22, 8:25:06 am,C,33.922
18/3/22, 8:25:11 am,C,33.922
18/3/22, 8:25:16 am,C,33.922
18/3/22, 8:25:21 am,C,33.922
18/3/22, 8:25:26 am,C,33.922
18/3/22, 8:25:31 am,C,33.922
18/3/22, 8:25:36 am,C,33.922
18/3/22, 8:25:41 am,C,33.922
18/3/22, 8:25:46 am,C,33.922
18/3/22, 8:25:51 am,C,33.984
18/3/22, 8:25:56 am,C,33.984
18/3/22, 8:26:01 am,C,33.984
18/3/22, 8:26:06 am,C,33.984
18/3/22, 8:26:11 am,C,33.984
18/3/22, 8:26:16 am,C,33.984
18/3/22, 8:26:21 am,C,34.047
18/3/22, 8:26:26 am,C,34.047
18/3/22, 8:26:31 am,C,34.109
18/3/22, 8:26:36 am,C,34.109
18/3/22, 8:26:41 am,C,34.171
18/3/22, 8:26:46 am,C,34.171
18/3/22, 8:26:51 am,C,34.171
18/3/22, 8:26:56 am,C,34.171
18/3/22, 8:27:01 am,C,34.171
18/3/22, 8:27:06 am,C,34.171
18/3/22, 8:27:11 am,C,34.234
18/3/22, 8:27:16 am,C,34.234
18/3/22, 8:27:21 am,C,34.234
18/3/22, 8:27:26 am,C,34.234
18/3/22, 8:27:31 am,C,34.234
18/3/22, 8:27:36 am,C,34.234
18/3/22, 8:27:41 am,C,34.234
18/3/22, 8:27:46 am,C,34.234
18/3/22, 8:27:51 am,C,34.234
18/3/22, 8:27:56 am,C,34.234
18/3/22, 8:28:01 am,C,34.234
18/3/22, 8:28:06 am,C,34.234
18/3/22, 8:28:11 am,C,34.234
18/3/22, 8:28:16 am,C,34.234
18/3/22, 8:28:21 am,C,34.234
18/3/22, 8:28:26 am,C,34.234
18/3/22, 8:28:31 am,C,34.234
18/3/22, 8:28:36 am,C,34.234
18/3/22, 8:28:41 am,C,34.234
18/3/22, 8:28:46 am,C,34.234
18/3/22, 8:28:51 am,C,34.234
18/3/22, 8:28:56 am,C,34.234
18/3/22, 8:29:01 am,C,34.234
18/3/22, 8:29:06 am,C,34.234
18/3/22, 8:29:11 am,C,34.234
18/3/22, 8:29:16 am,C,34.234
18/3/22, 8:29:21 am,C,34.234
18/3/22, 8:29:26 am,C,34.234
18/3/22, 8:29:31 am,C,34.234
18/3/22, 8:29:36 am,C,34.234
18/3/22, 8:29:41 am,C,34.234
18/3/22, 8:29:46 am,C,34.234
18/3/22, 8:29:51 am,C,34.234
18/3/22, 8:29:56 am,C,34.171
18/3/22, 8:30:01 am,C,34.234
18/3/22, 8:30:06 am,C,34.234
18/3/22, 8:30:11 am,C,34.171
18/3/22, 8:30:16 am,C,34.171
18/3/22, 8:30:21 am,C,34.171
18/3/22, 8:30:26 am,C,34.171
18/3/22, 8:30:31 am,C,34.171
18/3/22, 8:30:36 am,C,34.171
18/3/22, 8:30:41 am,C,34.171
18/3/22, 8:30:46 am,C,34.171
18/3/22, 8:30:51 am,C,34.234
18/3/22, 8:30:56 am,C,34.234
18/3/22, 8:31:01 am,C,34.234
18/3/22, 8:31:06 am,C,34.234
18/3/22, 8:31:11 am,C,34.234
18/3/22, 8:31:16 am,C,34.234
18/3/22, 8:31:21 am,C,34.234
18/3/22, 8:31:26 am,C,34.234
18/3/22, 8:31:31 am,C,34.234
18/3/22, 8:31:36 am,C,34.234
18/3/22, 8:31:41 am,C,34.296
18/3/22, 8:31:46 am,C,34.296
18/3/22, 8:31:51 am,C,34.296
18/3/22, 8:31:56 am,C,34.296
18/3/22, 8:32:01 am,C,34.296
18/3/22, 8:32:06 am,C,34.296
18/3/22, 8:32:11 am,C,34.359
18/3/22, 8:32:16 am,C,34.359
18/3/22, 8:32:21 am,C,34.359
18/3/22, 8:32:26 am,C,34.359
18/3/22, 8:32:31 am,C,34.359
18/3/22, 8:32:36 am,C,34.359
18/3/22, 8:32:41 am,C,34.359
18/3/22, 8:32:46 am,C,34.359
18/3/22, 8:32:51 am,C,34.359
18/3/22, 8:32:56 am,C,34.359
18/3/22, 8:33:01 am,C,34.359
18/3/22, 8:33:06 am,C,34.296
18/3/22, 8:33:11 am,C,34.296
